id_municipio,ano_pib,pib,populacao
5106265,2022,593945000,6520
5106281,2022,1070882000,6919
5106653,2022,135251000,6932
5108402,2022,11559596000,300078
5205703,2022,77066000,2454
5215504,2022,547735000,7200
5219902,2022,142562000,6378
5220009,2022,681974000,14041
5221304,2022,71371000,2921
1101005,2022,283465000,8001
1200302,2022,639844000,35426
1200427,2022,253225000,14938
1502806,2022,328648000,33903
1503309,2022,818860000,64831
1505601,2022,81669000,8285
1703701,2022,264927000,4725
1707306,2022,248721000,4248
1709807,2022,49269000,1590
1713957,2022,70559000,3367
1718501,2022,164680000,3421
2100105,2022,117493000,6144
2103554,2022,164033000,14915
2113009,2022,368452000,30845
2201309,2022,124724000,3264
2202737,2022,44161000,4117
2203206,2022,166600000,11270
2203453,2022,156531000,9159
2204550,2022,51222000,4276
2207603,2022,117191000,10103
2208700,2022,112571000,8394
2209401,2022,86075000,5839
2210409,2022,173925000,17554
2211001,2022,25943688000,866300
2310852,2022,320047000,23391
2312908,2022,6016970000,203023
2405009,2022,91188000,7834
2407807,2022,325278000,23031
2509057,2022,109425000,8999
2512408,2022,168482000,14277
2608057,2022,161439000,14020
2609204,2022,98382000,9359
2700805,2022,145721000,4722
2703700,2022,69405000,4985
2705903,2022,67756000,4330
2706406,2022,248374000,23823
2707800,2022,175267000,6474
2709103,2022,392585000,19032
2801207,2022,2954228000,26834
2804409,2022,318548000,16426
2901403,2022,203278000,13732
2911600,2022,240625000,20605
2918605,2022,79498000,7379
2921302,2022,174737000,11071
2923704,2022,287940000,29252
2927002,2022,1106437000,35362
2931202,2022,227007000,18044
3101508,2022,915498000,30717
3117207,2022,78461000,2772
3119609,2022,65350000,2762
3120904,2022,2352585000,80665
3134806,2022,183603000,7495
3138682,2022,72963000,6210
3143708,2022,48346000,3133
3150703,2022,501603000,5537
3153202,2022,54976000,3465
3154606,2022,5754239000,329794
3155108,2022,59991000,4639
3160108,2022,90008000,4229
3163805,2022,130368000,6334
3171709,2022,196222000,8908
3305604,2022,646129000,21352
3500808,2022,129965000,4445
3506904,2022,237971000,10460
3512407,2022,4216369000,24514
3513009,2022,17274219000,274413
3514502,2022,324954000,12328
3515202,2022,1211780000,9417
3515350,2022,134967000,7924
3525508,2022,285354000,12815
3534500,2022,104638000,2470
3540507,2022,259915000,10451
3554102,2022,18462529000,310739
3556503,2022,4339126000,115771
4111258,2022,679361000,31217
4111555,2022,208640000,6831
4118451,2022,223322000,5733
4120507,2022,460931000,10082
4123808,2022,398553000,14070
4217758,2022,95898000,2832
4218202,2022,2594452000,46099
4218855,2022,102218000,2774
4219176,2022,598895000,4576
4301602,2022,4135744000,117938
4305801,2022,442901000,10385
4308300,2022,229958000,9550
4313102,2022,307920000,5586
4315156,2022,155899000,5340
4319307,2022,181060000,5846
4319372,2022,128336000,3070
4321469,2022,186236000,3267
4323309,2022,331034000,3646
5008404,2022,318971000,6336
5103403,2022,34153881000,650877
5200209,2022,66332000,1858
1100338,2022,928842000,25444
1100452,2022,1104420000,27992
1100809,2022,791507000,22310
1300409,2022,207959000,18834
1302405,2022,665442000,45448
1400175,2022,405868000,18682
1500701,2022,304791000,28011
1501501,2022,2700819000,63567
1503804,2022,658642000,37707
1505403,2022,231549000,17855
1718303,2022,132429000,9044
1718808,2022,87893000,4215
