ano,id_municipio,rede,etapa,ideb
2023,2926103,estadual,EF anos finais,NA
2023,2927200,estadual,EF anos finais,NA
2023,2928109,estadual,EF anos finais,NA
2023,3104304,estadual,EF anos finais,NA
2023,3111150,estadual,EF anos finais,NA
2023,3111150,municipal,EF anos finais,NA
2023,3120201,municipal,EF anos finais,NA
2023,3159100,estadual,EF anos finais,NA
2023,3300605,municipal,EF anos finais,NA
2023,4206504,municipal,EF anos finais,NA
2023,4216107,estadual,EF anos finais,NA
2023,4305850,municipal,EF anos finais,NA
2023,5002100,municipal,EF anos finais,NA
2023,5004304,municipal,EF anos finais,NA
2023,5007307,municipal,EF anos finais,NA
2023,5215405,municipal,EF anos finais,NA
2023,2408508,estadual,EM,NA
2023,2412005,federal,EM,NA
2023,2412906,estadual,EM,NA
2023,2507507,federal,EM,NA
2023,3101706,federal,EM,NA
2023,3303401,federal,EM,NA
2023,3304201,municipal,EM,NA
2023,3551702,federal,EM,NA
2023,4108304,federal,EM,NA
2023,4201208,estadual,EM,NA
2023,4202800,estadual,EM,NA
2023,4213351,estadual,EM,NA
2023,4302451,estadual,EM,NA
2023,5005004,federal,EM,NA
2023,5220454,federal,EM,NA
2023,1100031,estadual,EF anos iniciais,NA
2023,1101203,estadual,EF anos iniciais,NA
2023,1702406,estadual,EF anos iniciais,NA
2023,1703107,estadual,EF anos iniciais,NA
2023,2103257,estadual,EF anos iniciais,NA
2023,2103604,estadual,EF anos iniciais,NA
2023,2107407,estadual,EF anos iniciais,NA
2023,2109601,estadual,EF anos iniciais,NA
2023,2109809,estadual,EF anos iniciais,NA
2023,2112803,estadual,EF anos iniciais,NA
2023,2209302,estadual,EF anos iniciais,NA
2023,2209906,estadual,EF anos iniciais,NA
2023,2402907,estadual,EF anos iniciais,NA
2023,2407609,estadual,EF anos iniciais,NA
2023,2413003,municipal,EF anos iniciais,NA
2023,2501575,estadual,EF anos iniciais,NA
2023,2503506,estadual,EF anos iniciais,NA
2023,2506103,estadual,EF anos iniciais,NA
2023,2602001,estadual,EF anos iniciais,NA
2023,2603504,estadual,EF anos iniciais,NA
2023,2605202,estadual,EF anos iniciais,NA
2023,2610806,estadual,EF anos iniciais,NA
2023,2613107,estadual,EF anos iniciais,NA
2023,2614303,estadual,EF anos iniciais,NA
2023,2701704,estadual,EF anos iniciais,NA
2023,2708204,estadual,EF anos iniciais,NA
2023,2904902,estadual,EF anos iniciais,NA
2023,2915601,estadual,EF anos iniciais,NA
2023,2920205,estadual,EF anos iniciais,NA
2023,2925204,estadual,EF anos iniciais,NA
2023,2929800,estadual,EF anos iniciais,NA
2023,3102050,estadual,EF anos iniciais,NA
2023,3125408,estadual,EF anos iniciais,NA
2023,3132008,estadual,EF anos iniciais,NA
2023,3148806,estadual,EF anos iniciais,NA
2023,3171600,estadual,EF anos iniciais,NA
2023,3300951,estadual,EF anos iniciais,NA
2023,3301504,estadual,EF anos iniciais,NA
2023,3302056,estadual,EF anos iniciais,NA
2023,3518909,estadual,EF anos iniciais,NA
2023,3523909,estadual,EF anos iniciais,NA
2023,3524600,estadual,EF anos iniciais,NA
2023,3556503,estadual,EF anos iniciais,NA
2023,4107546,estadual,EF anos iniciais,NA
2023,4108106,municipal,EF anos iniciais,NA
2023,4203709,estadual,EF anos iniciais,NA
2023,4205704,estadual,EF anos iniciais,NA
2023,4211801,estadual,EF anos iniciais,NA
2023,4304713,municipal,EF anos iniciais,NA
2023,4307104,municipal,EF anos iniciais,NA
2023,4310553,estadual,EF anos iniciais,NA
2023,4311130,estadual,EF anos iniciais,NA
2023,4320321,estadual,EF anos iniciais,NA
2023,5104609,estadual,EF anos iniciais,NA
2023,5105200,estadual,EF anos iniciais,NA
2023,5202155,estadual,EF anos iniciais,NA
2023,5206503,estadual,EF anos iniciais,NA
2023,5208103,estadual,EF anos iniciais,NA
2023,1100072,municipal,EF anos finais,NA
2023,2103125,estadual,EF anos finais,NA
2023,2105708,estadual,EF anos finais,NA
2023,2105807,estadual,EF anos finais,NA
2023,2108405,estadual,EF anos finais,NA
2023,2200905,estadual,EF anos finais,NA
2023,2206506,estadual,EF anos finais,NA
2023,2209377,estadual,EF anos finais,NA
2023,2211407,estadual,EF anos finais,NA
2023,2301703,estadual,EF anos finais,NA
2023,2310902,estadual,EF anos finais,NA
2023,2408409,estadual,EF anos finais,NA
2023,2411700,municipal,EF anos finais,NA
2023,2700805,estadual,EF anos finais,NA
2023,2906402,estadual,EF anos finais,NA
2023,2911105,estadual,EF anos finais,NA
2023,2915601,estadual,EF anos finais,NA
2023,2918357,estadual,EF anos finais,NA
2023,2926301,estadual,EF anos finais,NA
2023,2929107,estadual,EF anos finais,NA
2023,3201803,municipal,EF anos finais,NA
2023,3300902,estadual,EF anos finais,NA
2023,3522307,municipal,EF anos finais,NA
2023,4204350,municipal,EF anos finais,NA
2023,4307450,estadual,EF anos finais,NA
2023,5213905,municipal,EF anos finais,NA
2023,2700706,federal,EM,NA
2023,2921302,municipal,EM,NA
2023,2924405,estadual,EM,NA
2023,3130606,federal,EM,NA
2023,3131505,estadual,EM,NA
