ano,id_municipio,rede,etapa,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula
2023,1100189,municipal,EF anos iniciais,17.7,96.13333333333334,4.066666666666666,13.9,NA
2023,1100189,municipal,EF anos finais,20.7,100,4.066666666666666,6.633333333333333,NA
2023,1100189,municipal,EM,NA,4.1,26.099999999999998,5.266666666666667,20.333333333333332
2023,1100205,estadual,EF anos iniciais,15.233333333333334,83.83333333333333,4.366666666666666,43.43333333333333,0.4666666666666667
2023,1100205,estadual,EF anos finais,19.4,94.03333333333333,4.366666666666666,9.733333333333334,46.1
2023,1100205,estadual,EM,NA,4.366666666666666,36.96666666666667,29.6,NA
2023,1100205,federal,EF anos iniciais,NA,NA,NA,NA,NA
2023,1100205,federal,EF anos finais,NA,NA,NA,NA,NA
2023,1100205,federal,EM,NA,NA,50,NA,NA
2023,1100205,municipal,EF anos iniciais,21.133333333333333,96.8,4.3,10.033333333333333,1.3
2023,1100205,municipal,EF anos finais,21.7,95.1,4.2,2.933333333333333,53.766666666666666
2023,1100205,municipal,EM,NA,4.3,22,15,18.9
2023,1100254,estadual,EF anos iniciais,9.266666666666667,95.16666666666667,4,33.1,0
2023,1100254,estadual,EF anos finais,10.966666666666667,98.96666666666667,4,10.266666666666667,29.4
2023,1100254,estadual,EM,NA,4,55.36666666666667,28.733333333333334,NA
2023,1100254,municipal,EF anos iniciais,14.766666666666667,85.83333333333333,4.3,7.533333333333333,NA
2023,1100254,municipal,EF anos finais,17.333333333333332,100,4.3,1.3666666666666667,NA
2023,1100254,municipal,EM,NA,4.1,12.5,0,14.666666666666666
2023,1100262,estadual,EF anos iniciais,NA,NA,4.3,75,NA
2023,1100262,estadual,EF anos finais,NA,100,4.3,12.5,NA
2023,1100262,estadual,EM,NA,4.3,0,12.5,NA
2023,1100262,municipal,EF anos iniciais,26.5,100,4,9.5,NA
2023,1100262,municipal,EF anos finais,21.3,100,NA,0,NA
2023,1100262,municipal,EM,NA,3.8,50,50,17.7
2023,1100288,estadual,EF anos iniciais,17.8,100,4.6,54.7,0
2023,1100288,estadual,EF anos finais,18.5,100,4.6,9.4,45.6
2023,1100288,estadual,EM,NA,4.6,16.7,21.3,NA
2023,1100288,municipal,EF anos iniciais,22.366666666666667,100,4.1,1.9666666666666668,NA
2023,1100288,municipal,EF anos finais,21.266666666666666,100,4.1,2.0999999999999996,NA
2023,1100288,municipal,EM,NA,4.1,48.43333333333334,77.7,17.833333333333332
2023,1100296,estadual,EF anos iniciais,NA,NA,4.3,61.5,0
2023,1100296,estadual,EF anos finais,NA,100,4.3,7.7,42.1
2023,1100296,estadual,EM,NA,4.3,50,0,NA
2023,1100296,municipal,EF anos iniciais,20.3,100,4.1,11.4,NA
2023,1100296,municipal,EF anos finais,20,94.1,4.1,0,NA
2023,1100296,municipal,EM,NA,4.1,33.3,47.1,21.8
2023,1100304,estadual,EF anos iniciais,1,20,4.433333333333334,34.96666666666667,0
2023,1100304,estadual,EF anos finais,1.7,94.9,4.3,4.466666666666667,43.5
2023,1100304,estadual,EM,NA,4.366666666666667,65,53.233333333333334,NA
2023,1100304,federal,EF anos iniciais,NA,NA,NA,NA,NA
2023,1100304,federal,EF anos finais,NA,NA,NA,NA,NA
2023,1100304,federal,EM,NA,NA,0,NA,NA
2023,1100304,municipal,EF anos iniciais,19.46666666666667,99.43333333333334,4.3,4.1,0
2023,1100304,municipal,EF anos finais,22.03333333333333,100,4.3,1.2,72.6
2023,1100304,municipal,EM,NA,4.366666666666667,4.966666666666667,41.5,19.333333333333332
2023,1100320,estadual,EF anos iniciais,NA,NA,4.3,35.3,0
2023,1100320,estadual,EF anos finais,NA,100,4.2,20.6,63
2023,1100320,estadual,EM,NA,4.2,33.3,29.4,NA
2023,1100320,federal,EF anos iniciais,NA,NA,NA,NA,NA
2023,1100320,federal,EF anos finais,NA,NA,NA,NA,NA
2023,1100320,federal,EM,NA,NA,100,NA,NA
2023,1100320,municipal,EF anos iniciais,15.633333333333333,96.16666666666667,4,19.099999999999998,NA
2023,1100320,municipal,EF anos finais,18.3,95.3,4.466666666666667,0.9666666666666667,NA
2023,1100320,municipal,EM,NA,4.1,70.83333333333333,49.233333333333334,14.9
2023,1100338,estadual,EF anos iniciais,6,0,4.233333333333333,26.566666666666666,0
2023,1100338,estadual,EF anos finais,8,73.4,4.166666666666666,11.233333333333334,75.4
2023,1100338,estadual,EM,NA,4.233333333333333,30.133333333333333,39.63333333333333,NA
2023,1100338,municipal,EF anos iniciais,16.9,94.33333333333333,4,9.9,NA
2023,1100338,municipal,EF anos finais,20.766666666666666,94,4.1,6,NA
2023,1100338,municipal,EM,NA,4.1,15.033333333333335,4.3,14.166666666666666
2023,1100346,estadual,EF anos iniciais,20.8,95,4.1,21.7,0
2023,1100346,estadual,EF anos finais,23,100,4.1,10.9,67.2
2023,1100346,estadual,EM,NA,4.1,50,41.4,NA
2023,1100346,municipal,EF anos iniciais,20,100,4.166666666666667,0,NA
2023,1100346,municipal,EF anos finais,16,100,4.1,1.5333333333333334,NA
2023,1100346,municipal,EM,NA,4.1,8.1,10.833333333333334,15.5
2023,1100379,estadual,EF anos iniciais,1,0,4.4,14.866666666666667,NA
2023,1100379,estadual,EF anos finais,1,100,4.3,37.13333333333333,NA
2023,1100379,estadual,EM,NA,4.3,0,0,NA
2023,1100379,municipal,EF anos iniciais,20.666666666666668,100,4.133333333333333,31.033333333333335,NA
2023,1100379,municipal,EF anos finais,22.2,100,4.166666666666667,0,NA
2023,1100379,municipal,EM,NA,4.166666666666667,62.5,33.03333333333333,19.4
2023,1100403,estadual,EF anos iniciais,NA,NA,4.3,40,NA
2023,1100403,estadual,EF anos finais,NA,88.5,4.3,20,NA
2023,1100403,estadual,EM,NA,4.3,50,32,NA
2023,1100403,municipal,EF anos iniciais,17.96666666666667,97.76666666666667,4,7.433333333333334,0
2023,1100403,municipal,EF anos finais,14.7,96.7,3.9,8.933333333333334,79.4
2023,1100403,municipal,EM,NA,4,57.13333333333333,58.6,14.666666666666666
2023,1100452,estadual,EF anos iniciais,NA,NA,4.3,45.7,0
2023,1100452,estadual,EF anos finais,NA,100,4.3,21.7,52.5
2023,1100452,estadual,EM,NA,4.4,0,30.4,NA
2023,1100452,municipal,EF anos iniciais,18.933333333333334,100,NA,1.7333333333333334,0
2023,1100452,municipal,EF anos finais,19.966666666666665,100,NA,0.8666666666666667,100
2023,1100452,municipal,EM,NA,NA,25.766666666666666,0,20.066666666666666
2023,1100502,estadual,EF anos iniciais,NA,NA,4,73.3,0
2023,1100502,estadual,EF anos finais,NA,100,4,6.7,60
2023,1100502,estadual,EM,NA,4,0,13.3,NA
2023,1100502,municipal,EF anos iniciais,17,92.9,NA,0,NA
2023,1100502,municipal,EF anos finais,22.2,NA,NA,0,NA
2023,1100502,municipal,EM,NA,NA,0,NA,19.8
2023,1100601,estadual,EF anos iniciais,NA,NA,4.9,56.3,0
2023,1100601,estadual,EF anos finais,NA,100,4.5,37.5,33.3
2023,1100601,estadual,EM,NA,4.6,0,6.2,NA
2023,1100601,municipal,EF anos iniciais,9.466666666666667,96.8,4.3,12.4,0
2023,1100601,municipal,EF anos finais,14.333333333333334,93.8,4.4,2.7666666666666666,75
2023,1100601,municipal,EM,NA,4.3,0,46.2,11.3
2023,1100700,estadual,EF anos iniciais,NA,NA,4,35,NA
2023,1100700,estadual,EF anos finais,NA,100,4.033333333333333,21,NA
2023,1100700,estadual,EM,NA,4.033333333333333,50,41,NA
2023,1100700,municipal,EF anos iniciais,16.96666666666667,97.56666666666666,4,25.7,NA
2023,1100700,municipal,EF anos finais,17.7,100,4,0,NA
2023,1100700,municipal,EM,NA,4,36.13333333333333,16.7,17.333333333333332
2023,1100809,estadual,EF anos iniciais,NA,76.66666666666667,4.5,32.766666666666666,10
2023,1100809,estadual,EF anos finais,17.4,77.43333333333334,4.3,13.366666666666667,44
2023,1100809,estadual,EM,NA,4.366666666666667,55,44.733333333333334,NA
2023,1100809,municipal,EF anos iniciais,23.466666666666665,100,4.3,12.666666666666666,0
2023,1100809,municipal,EF anos finais,24.666666666666668,100,4.5,2.3333333333333335,100
2023,1100809,municipal,EM,NA,4.4,0,85.7,23.2
2023,1100908,estadual,EF anos iniciais,NA,NA,NA,100,NA
2023,1100908,estadual,EF anos finais,NA,100,NA,0,NA
2023,1100908,estadual,EM,NA,4.1,100,0,NA
2023,1100908,municipal,EF anos iniciais,16.5,91.7,4.2,31.6,NA
2023,1100908,municipal,EF anos finais,18,100,4.3,5.3,NA
2023,1100908,municipal,EM,NA,4.3,50,0,24.8
2023,1100924,estadual,EF anos iniciais,2,42.9,4.2,28.7,NA
2023,1100924,estadual,EF anos finais,2.5,94.06666666666666,4.166666666666666,9.666666666666666,NA
