ano,id_municipio,rede,etapa,ideb,tdi,taxa_aprovacao,taxa_reprovacao,taxa_abandono,hrs_aula,ano_pib,pib,populacao,pib_pc,pib_pc_mil,log_pib,grupo_pib
2023,2605806,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,136979000,13636,10045.394543854503,10.045394543854503,9.214869554113777,Abaixo da mediana
2023,2610004,estadual,EF anos finais,NA,NA,NA,NA,NA,63.13333333333333,2022,1061835000,54584,19453.228052176462,19.453228052176463,9.875768301968522,Abaixo da mediana
2023,2704005,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,594026000,23907,24847.366879993308,24.847366879993306,10.120507065346908,Abaixo da mediana
2023,2906824,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,185458000,16105,11515.554175721825,11.515554175721824,9.351453937516357,Abaixo da mediana
2023,2907806,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,445985000,30907,14429.902611058984,14.429902611058983,9.57705790268478,Abaixo da mediana
2023,2911501,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,79733000,5555,14353.375337533753,14.353375337533754,9.571740408688166,Abaixo da mediana
2023,2922508,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,411316000,27060,15200.147819660015,15.200147819660014,9.629060431764714,Abaixo da mediana
2023,2925303,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,4440532000,168326,26380.54727136628,26.38054727136628,10.180382171748546,Acima da mediana
2023,2929008,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,191036000,11026,17325.956829312534,17.325956829312535,9.759961050776228,Abaixo da mediana
2023,3157252,municipal,EF anos finais,NA,18.666666666666668,94.5,4.4,12.033333333333331,NA,2022,149129000,8458,17631.709624024592,17.63170962402459,9.77745424312514,Abaixo da mediana
2023,3162401,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,294984000,23930,12326.95361470957,12.32695361470957,9.419543494642644,Abaixo da mediana
2023,3519055,municipal,EF anos finais,NA,18.666666666666668,100,5.1,4.566666666666666,37.5,2022,1518913000,15094,100630.2504306347,100.6302504306347,11.519208191552273,Acima da mediana
2023,3540754,estadual,EF anos finais,NA,NA,NA,NA,NA,48.7,2022,333132000,20392,16336.406433895645,16.336406433895647,9.701151419740867,Abaixo da mediana
2023,3542206,municipal,EF anos finais,NA,24.3,90.9,5.3,7.5,100,2022,1724783000,28588,60332.41220092346,60.332412200923464,11.007624754075296,Acima da mediana
2023,3550407,estadual,EF anos finais,NA,NA,100,9,12.5,28.6,2022,1023482000,38256,26753.502718527812,26.753502718527812,10.194420686500603,Acima da mediana
2023,4116901,municipal,EF anos finais,NA,25.4,100,NA,1.2,100,2022,1085730000,26585,40839.94733872484,40.83994733872484,10.617415982824411,Acima da mediana
2023,4217006,estadual,EF anos finais,NA,16,89.16666666666667,4,17.433333333333334,0,2022,1048991000,13509,77651.26952402102,77.65126952402102,11.259983177754465,Acima da mediana
2023,4300661,municipal,EF anos finais,NA,13,100,4,14.3,NA,2022,105228000,1135,92711.89427312775,92.71189427312775,11.43725205263399,Acima da mediana
2023,4310801,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,1361667000,22983,59246.70408562851,59.24670408562851,10.98946543020335,Acima da mediana
2023,4318432,estadual,EF anos finais,NA,15,94.86666666666667,4.3,13.266666666666666,NA,2022,100561000,2649,37961.87240468101,37.96187240468101,10.544337577236606,Acima da mediana
2023,4320677,estadual,EF anos finais,NA,NA,NA,NA,NA,NA,2022,197557000,8578,23030.65982746561,23.03065982746561,10.0445816431844,Abaixo da mediana
2023,5000906,municipal,EF anos finais,NA,31.9,NA,NA,12.1,33.3,2022,917075000,9303,98578.41556487155,98.57841556487155,11.498607607548255,Acima da mediana
2023,5103858,municipal,EF anos finais,NA,19.566666666666663,73.06666666666666,4,6.6000000000000005,NA,2022,1447641000,8642,167512.26567924093,167.51226567924093,12.02881185550199,Acima da mediana
2023,1301902,federal,EM,NA,NA,NA,100,NA,NA,2022,2775138000,103598,26787.563466476186,26.787563466476186,10.195693009036185,Acima da mediana
